Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
House For Sale In Giritale,"Beds-2, Baths-2 Size-2000sqft",,"9,000,000","127,875"
Land With House For Sale In Nittambuwa,15 Perches,,"5,500,000","78,146"
House For Rent In Kelaniya,"Beds-4, Baths-2 Size-3000sqft",,,"249,000"
Land For Sale In Pugoda,40 Perches,,"4,000,000","56,833"
Land For Sale In Rajagiriya,3 Perches,,"7,600,000","107,983"
House For Sale In Delgoda,"Beds-3, Baths-1 Size-2000sqft",,"5,800,000","82,408"
House For Rent In Kadawatha,"Beds-3, Baths-1 Size-1900sqft",,,"35,000"
Annex For Rent In Peradeniya,"Beds-2, Baths-2",,,"25,000"
House For Rent In Makola,"Beds-4, Baths-1 Size-2000sqft",,,
Land For Sale In Nivitigala,133 Perches,,"26,600,000","377,941"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-1500sqft",,"9,500,000","134,979"
Apartment For Rent In Kiribathgoda,"Beds-2, Baths-1 Size-1217sqft",,,"110,000"
Annex For Rent In Kadawatha,"Beds-1, Baths-1",,,"18,000"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
House For Sale In Malabe,"Beds-5, Baths-2 Size-2700sqft",,"50,000,000","710,415"
House For Sale In Madapatha,"Beds-3, Baths-2 Size-2000sqft",,"31,000,000","440,457"
House For Sale In Athurugiriya,"Beds-5, Baths-3 Size-2500sqft",,"53,000,000","753,040"
House For Sale In Athurugiriya,"Beds-4, Baths-4 Size-2500sqft",,"36,500,000","518,603"
House For Sale In Kottawa,"Beds-5, Baths-3 Size-4600sqft",,,
House For Sale In Kottawa,"Beds-6, Baths-4 Size-3000sqft",,"65,000,000","923,539"
Land For Sale In Yatadolawatta,10 Perches,,"5,750,000","81,698"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Pannipitiya,"Beds-8, Baths-4 Size-3925sqft",,"55,000,000","781,456"
House For Sale In Piliyandala,"Beds-4, Baths-2 Size-3000sqft",,"29,000,000","412,041"
House For Sale In Pitipana Homagama,"Beds-5, Baths-2 Size-2500sqft",,"16,500,000","234,437"
Commercial Building For Rent In Padukka,1440sqft,,,"50,000"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Ganemulla,"Beds-4, Baths-2 Size-2000sqft",,,
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Yakkala,7.5 Acres,,"48,750,000","692,654"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Shop For Sale In Maharagama,1100sqft,,"80,000,000","1,136,664"
House For Sale In Veyangoda,"Beds-5, Baths-3 Size-sqft",,"21,000,000","298,374"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
House For Sale In Tangalla,"Beds-2, Baths-1 Size-sqft",,"1,600,000","22,733"
Land For Sale In Tangalla,14 Acres,,"63,000,000","895,123"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,6 Perches,,"5,700,000","80,987"
Shop For Sale In Matara,400sqft,,"20,000,000","284,166"
House For Sale In Bandarawela,"Beds-5, Baths-4 Size-1940sqft",,"42,000,000","596,748"
Land For Sale In Embilipitiya,191 Perches,,"76,400,000","1,085,514"
Apartment For Rent In Kelaniya,"Beds-3, Baths-1 Size-2000sqft",,,"55,000"
Land For Sale In Homagama,10 Perches,,"7,000,000","99,458"
House For Sale In Padukka,"Beds-3, Baths-2 Size-sqft",,"8,800,000","125,033"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Dodangoda,10 Perches,,"5,750,000","81,698"
House For Sale In Weeraketiya,"Beds-3, Baths-2 Size-sqft",,"14,000,000","198,916"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land With House For Sale In Narammala,56 Perches,,"15,400,000","218,808"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Kandana,"Beds-2, Baths-1 Size-sqft",,"12,000,000","170,500"
Hotel For Sale In Wariyapola,3000sqft,,"35,500,000","504,395"
House For Sale In Kadawatha,"Beds-3, Baths-2 Size-1300sqft",,"14,000,000","198,916"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1400sqft",,"17,000,000","241,541"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
Land For Sale In Kirindiwela,10 Perches,,"2,750,000","39,073"
House For Sale In Batapola,"Beds-4, Baths-1 Size-sqft",,"7,900,000","112,246"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
House For Sale In Battaramulla,"Beds-3, Baths-1 Size-2250sqft",,"30,000,000","426,249"
Land For Sale In Gampaha,15 Perches,,"6,750,000","95,906"
House For Sale In Weligama,"Beds-3, Baths-1 Size-1800sqft",,"50,000,000","710,415"
House For Sale In Kumbuka,"Beds-2, Baths-1 Size-1100sqft",,"13,000,000","184,708"
Land For Sale In Ja-Ela,22 Perches,,"13,200,000","187,550"
House For Sale In Maharagama,"Beds-6, Baths-2 Size-2448sqft",,,
House For Sale In Urapola,"Beds-5, Baths-1 Size-200sqft",,"6,000,000","85,250"
Land For Sale In Nugegoda,15 Perches,,"90,000,000","1,278,747"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
House For Sale In Nittambuwa,"Beds-3, Baths-1 Size-200sqft",,"8,500,000","120,771"
House For Sale In Urapola,"Beds-3, Baths-1 Size-2000sqft",,"9,300,000","132,137"
Land For Sale In Gampaha,15 Perches,,"3,000,000","42,625"
Land For Sale In Watapuluwa,12.6 Perches,,"12,285,000","174,549"
House For Sale In Kadawatha,"Beds-4, Baths-2 Size-2500sqft",,"25,500,000","362,312"
Land For Sale In Bandaragama,20 Perches,,"8,500,000","120,771"
Land For Sale In Piliyandala,22.6 Perches,,"33,900,000","481,661"
House For Sale In Ganemulla,"Beds-3, Baths-2 Size-2500sqft",,"19,000,000","269,958"
House For Rent In Homagama,"Beds-2, Baths-1 Size-500sqft",,,"20,000"
Building For Rent In Nugegoda,540sqft,,,"58,000"
House For Sale In Kiribathgoda,"Beds-5, Baths-2 Size-3400sqft",,"65,000,000","923,539"
Land For Sale In Mahara,17.87 Perches,,"15,189,500","215,817"
House For Sale In Delgoda,"Beds-2, Baths-1 Size-1500sqft",,"7,800,000","110,825"
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
House For Rent In Colombo 03,"Beds-1, Baths-1 Size-600sqft",,,"115,000"
House For Sale In Godagama,"Beds-3, Baths-1 Size-1160sqft",,"5,700,000","80,987"
Land For Sale In Piliyandala,6.5 Perches,,"5,687,500","80,810"
Land For Sale In Mount Lavinia,12 Perches,,"27,625,000","392,504"
House For Rent In Seeduwa,"Beds-3, Baths-2 Size-1800sqft",,,"40,000"
House For Sale In Akaragama,"Beds-5, Baths-1 Size-1800sqft",,"8,000,000","113,666"
House For Sale In Ratmalana,"Beds-12, Baths-4 Size-1600sqft",,"100,000,000","1,420,830"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
House For Rent In Makola,"Beds-2, Baths-1 Size-1800sqft",,,"35,000"
House For Rent In Kadawatha - Ref 1006,"Beds-3, Baths-1 Size-1800sqft",,,"30,000"
House For Rent In Makola,"Beds-4, Baths-1 Size-1900sqft",,,"55,000"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1800sqft",,,"45,000"
House For Rent In Gothatuwa,"Beds-1, Baths-1 Size-800sqft",,,"28,000"
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Land For Sale In Moragahahena,10 Perches,,"4,500,000","63,937"
Shop For Rent In Kiribathgoda,sqft,,,"28,000"
Land For Sale In Kiriwattuduwa,10 Perches,,"4,500,000","63,937"
House For Sale In Nittambuwa,"Beds-3, Baths-3 Size-2000sqft",,"18,000,000","255,749"
House For Sale In Pallekelle,"Beds-3, Baths-2 Size-1232.04sqft",,"15,000,000","213,124"
Land For Sale In Dehiowita,220 Perches,,"1,500,000","21,312"
Room For Rent In Boralesgamuwa,"Beds-2, Baths-4",,,"12,000"
House For Sale In Kuruwita,"Beds-4, Baths-2 Size-3500sqft",,"26,500,000","376,520"
Holiday Bungalow For Rent In Anuradhapura,"Beds-2, Baths-2",,,"12,500"
House For Sale In Biyagama,"Beds-4, Baths-2 Size-2500sqft",,"25,000,000","355,207"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
Land For Sale In Horana,10 Perches,,"3,250,000","46,177"
Land For Sale In Millaniya,12.5 Perches,,"1,875,000","26,641"
Land For Sale In Bandaragama,12.5 Perches,,"1,875,000","26,641"
House For Sale In Bopitiya,"Beds-3, Baths-2 Size-1500sqft",,"17,500,000","248,645"
Land For Sale In Kurunegala,15 Perches,,"3,375,000","47,953"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
House For Sale In Kaduwela,"Beds-2, Baths-1 Size-2723sqft",,"8,500,000","120,771"
Land For Sale In Makola,10 Perches,,"25,000,000","355,207"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Nittambuwa,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,10 Perches,,"9,500,000","134,979"
Land For Sale In Kurunegala,54 Perches,,"23,220,000","329,917"
Land For Sale In Yakkala,25 Perches,,,
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
House For Sale In Dewalegama,"Beds-3, Baths-1 Size-1500sqft",,"3,000,000","42,625"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
House For Sale In Kiribathgoda,"Beds-3, Baths-1 Size-1500sqft",,,
Room For Rent In Ratnapura,"Beds-2, Baths-1",,,"10,000"
House For Rent In Homagama,"Beds-2, Baths-1 Size-2000sqft",,,"30,000"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
House For Sale In Malabe,"Beds-3, Baths-2 Size-2178sqft",,"30,000,000","426,249"
Land For Sale In Hikkaduwa,12.5 Acres,,"42,500,000","603,853"
House For Sale In Piliyandala,"Beds-5, Baths-3 Size-2400sqft",,"32,000,000","454,665"
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-3500sqft",,"55,000,000","781,456"
House For Sale In Piliyandala,"Beds-5, Baths-4 Size-4000sqft",,"59,500,000","845,394"
House For Sale In Naranwala,"Beds-2, Baths-1 Size-1633sqft",,"7,000,000","99,458"
Land For Sale In Homagama,10 Perches,,"3,500,000","49,729"
Restaurant For Sale In Wadduwa,sqft,,"240,000,000","3,409,991"
Land For Sale In Pilimatalawa,85 Perches,,"4,000,000","56,833"
Annex For Rent In Kiribathgoda,"Beds-2, Baths-1",,,"55,000"
Annex For Rent In Kiribathgoda,"Beds-1, Baths-1",,,"30,000"
House For Rent In Kadawatha,"Beds-3, Baths-1 Size-1500sqft",,,"30,000"
Annex For Rent In Kiribathgoda,"Beds-1, Baths-1",,,"25,000"
Land For Sale In Dodangoda,10 Perches,,"3,200,000","45,467"
Land For Sale In Yatadolawatta,10 Perches,,"3,200,000","45,467"
Land For Sale In Dodangoda,10 Perches,,"3,250,000","46,177"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
House For Sale In Nattandiya,"Beds-2, Baths-1 Size-2000sqft",,"16,500,000","234,437"
Land For Sale In Mirigama,10.9 Perches,,"2,452,500","34,846"
Land For Rent In Wariyapola,10 Perches,,,"17,000"
House For Sale In Kalutara,"Beds-5, Baths-3 Size-2655sqft",,"51,000,000","724,623"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land For Sale In Matugama,10 Perches,,"5,500,000","78,146"
Land For Sale In Yatadolawatta,10 Perches,,"5,500,000","78,146"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Kiriwattuduwa,"Beds-3, Baths-2 Size-1850sqft",,"13,500,000","191,812"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
House For Rent In Colombo 07,"Beds-4, Baths-4 Size-2700sqft",,,
Land For Sale In Mount Lavinia,7 Perches,,"25,200,000","358,049"
Apartment For Sale In Piliyandala,"Beds-3, Baths-2 Size-1160sqft",,"42,500,000","603,853"
Apartment For Sale In Colombo 05,"Beds-3, Baths-2 Size-1500sqft",,"7,500,000","106,562"
House For Sale In Delgoda,"Beds-2, Baths-1 Size-2722sqft",,"7,800,000","110,825"
Apartment For Sale In Colombo 02,"Beds-6, Baths-2 Size-sqft",,,
Land With House For Sale In Narammala,56 Perches,,"15,400,000","218,808"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
Land For Sale In Ambalantota,1 Acres,,"2,500,000","35,521"
House For Sale In Kottawa,"Beds-2, Baths-1 Size-1250sqft",,"15,500,000","220,229"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
Land For Sale In Nuwara Eliya,15 Perches,,"6,800,000","96,616"
House For Sale In Ranna,"Beds-1, Baths-1 Size-sqft",,"3,000,000","42,625"
Hotel For Rent In Kiribathgoda,2300sqft,,,"375,000"
Land For Sale In Siyambalape,12 Perches,,"4,800,000","68,200"
Room For Rent In Nugegoda,"Beds-1, Baths-1",,,"11,000"
House For Rent In Colombo 03,"Beds-5, Baths-3 Size-5000sqft",,,
Land For Sale In Nawala,63 Perches,,,
House For Rent In Colombo 05,"Beds-4, Baths-3 Size-3000sqft",,,"350,000"
House For Sale In Nawala,"Beds-4, Baths-2 Size-2000sqft",,,
House For Sale In Nugegoda,"Beds-4, Baths-3 Size-1350sqft",,"35,000,000","497,290"
House For Sale In Malabe,"Beds-4, Baths-3 Size-2450sqft",,"31,000,000","440,457"
Annex For Rent In Kadawatha,"Beds-1, Baths-1",,,"25,000"
House For Sale In Veyangoda,"Beds-4, Baths-2 Size-1280sqft",,"17,000,000","241,541"
House For Sale In Kiribathgoda,"Beds-2, Baths-1 Size-1900sqft",,"15,500,000","220,229"
Land For Sale In Handapangoda,16.5 Perches,,,
House For Sale In Kirindiwela,"Beds-3, Baths-2 Size-1500sqft",,,
Apartment For Rent In Malabe,"Beds-2, Baths-2 Size-1140sqft",,,"85,000"
Land For Sale In Panadura,5.77 Perches,,"1,925,000",
House For Sale In Panadura,"Beds-2, Baths-2 Size-2000sqft",,"16,900,000","240,120"
Land For Sale In Malabe,19.5 Perches,,"26,325,000","374,033"
House For Sale In Panadura,"Beds-5, Baths-2 Size-2000sqft",,"14,000,000","198,916"
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"8,500,000","120,771"
House For Sale In Matale,"Beds-4, Baths-2 Size-2000sqft",,"28,000,000","397,832"
House For Sale In Kesbewa,"Beds-5, Baths-4 Size-3500sqft",,"58,500,000","831,185"
House For Sale In Uhumiya,"Beds-3, Baths-3 Size-3000sqft",,"36,000,000","511,499"
House For Sale In Ja-Ela,"Beds-5, Baths-2 Size-2500sqft",,"18,000,000",
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-1500sqft",,"13,000,000","184,708"
Hotel For Sale In Tissamaharama,15000sqft,,"360,000,000","5,114,987"
House For Sale In Kurunegala,"Beds-3, Baths-2 Size-1500sqft",,"16,500,000","234,437"
House For Sale In Mawathagama,"Beds-4, Baths-2 Size-2000sqft",,"49,000,000","696,207"
House For Sale In Matale,"Beds-3, Baths-2 Size-1500sqft",,"12,000,000","170,500"
House For Sale In Matale,"Beds-4, Baths-2 Size-1500sqft",,"40,000,000","568,332"
House For Sale In Piliyandala,"Beds-6, Baths-5 Size-5000sqft",,"55,000,000","781,456"
House For Sale In Matale,"Beds-4, Baths-2 Size-1500sqft",,"18,000,000","255,749"
Land For Sale In Gampaha,11.4 Perches,,"5,472,000","77,748"
House For Sale In Kurunegala,"Beds-5, Baths-3 Size-2500sqft",,"35,000,000","497,290"
Land For Sale In Panadura,15.05 Perches,,"7,900,000","112,246"
House For Sale In Piliyandala,"Beds-3, Baths-1 Size-1150sqft",,"15,500,000","220,229"
Land For Sale In Walpola (WP),12 Perches,,,
House For Sale In Mount Lavinia,"Beds-3, Baths-4 Size-2100sqft",,"55,000,000","781,456"
House For Sale In Delgoda,"Beds-5, Baths-2 Size-2500sqft",,"14,500,000","220,229"
House With Pool For Sale In Malabe,"Beds-5, Baths-6 Size-4714sqft",,"32,000,000","454,665"
House For Sale In Ratmalana,"Beds-12, Baths-4 Size-1600sqft",,"100,000,000","1,420,830"
House For Sale In Nittambuwa,"Beds-5, Baths-2 Size-3000sqft",,"13,800,000","196,074"
House For Sale In Kirindiwela,"Beds-5, Baths-2 Size-2500sqft",,"8,800,000","125,033"
Land For Sale In Mudungoda,18 Perches,,"7,650,000","108,693"
House For Sale In Kottawa,"Beds-5, Baths-3 Size-2500sqft",,"35,000,000","497,290"
House For Sale In Pelawatta,"Beds-4, Baths-3 Size-2500sqft",,"65,000,000","923,539"
Apartment For Sale In Tennekumbura,"Beds-7, Baths-6 Size-4000sqft",,"100,000,000","1,420,830"
Land With House For Sale In Boralesgamuwa,15 Perches,,"39,000,000","554,124"
House For Sale In Panadura,"Beds-3, Baths-1 Size-1500sqft",,"6,000,000","85,250"
Land With House For Sale In Moratuwa,17 Perches,,"28,500,000","404,936"
Land For Sale In Wariyapola,15 Perches,,"1,600,000","22,733"
House For Sale In Maharagama,"Beds-3, Baths-1 Size-1200sqft",,"16,000,000","227,333"
House For Rent In Mattegoda,"Beds-2, Baths-1 Size-2724sqft",,,"45,000"
House For Sale In Moratuwa,"Beds-3, Baths-2 Size-3000sqft",,"28,000,000","397,832"
Land With House For Sale In Kotte,13.15 Perches,,,
House For Sale In Malabe,"Beds-5, Baths-3 Size-2500sqft",,,
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Padukka,10 Perches,,"2,000,000","28,417"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Kaduwela,6 Perches,,"3,300,000","46,887"
Land For Sale In Godagama,6 Perches,,"3,600,000","51,150"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
Hotel For Sale In Negombo,sqft,,,
House For Sale In Hatton,"Beds-4, Baths-2 Size-1474sqft",,"25,000,000","355,207"
Land For Sale In Horana,10 Perches,,"4,500,000","63,937"
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-2722.5sqft",,,
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-2178sqft",,"8,500,000","120,771"
House For Rent In Rajagiriya,"Beds-4, Baths-4 Size-2500sqft",,,"225,000"
Land For Sale In Nittambuwa,10 Perches,,"3,500,000","49,729"
House For Sale In Naranwala,"Beds-3, Baths-1 Size-1500sqft",,"5,000,000","71,041"
Land For Sale In Biyagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Homagama,10 Perches,,"4,500,000","63,937"
Land For Sale In Padukka,10 Perches,,"2,000,000","28,417"
Land For Sale In Meegoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Avissawella,10 Perches,,"2,500,000","35,521"
Land For Sale In Moragahahena,10 Perches,,"4,500,000","63,937"
House For Sale In Ja-Ela,"Beds-3, Baths-2 Size-4219sqft",,"13,000,000","184,708"
Land For Sale In Homagama,13.05 Perches,,"10,000,000","142,083"
House For Rent In Rajagiriya,"Beds-2, Baths-1 Size-2000sqft",,,"35,000"
House For Sale In Wattala,"Beds-3, Baths-3 Size-2800sqft",,"38,000,000","539,915"
Half Built House For Sale In Wanduramba,"Beds-4, Baths-1 Size-5445sqft",,"13,000,000","184,708"
Shop With House For Sale In Katunayake,3300sqft,,,
Land For Sale In Hambegamuwa,6 Acres,,"9,000,000","127,875"
Land For Sale In Kurunegala,15 Perches,,"3,675,000","52,215"
Land For Sale In Dewalapola,47.5 Perches,,"16,625,000","236,213"
House For Rent In Boralesgamuwa,"Beds-2, Baths-1 Size-1150sqft",,,
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
Room For Rent In Rajagiriya,"Beds-2, Baths-2",,,"8,000"
Land For Sale In Kadawatha,10 Perches,,"8,500,000","120,771"
Land For Sale In Kegalle,72.5 Perches,,"1,800,000","25,575"
Room For Rent In Ragama,"Beds-1, Baths-1",,,"5,500"
House For Sale In Matale,"Beds-5, Baths-2 Size-1500sqft",,"11,500,000","163,395"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
House For Sale In Ganemulla,"Beds-4, Baths-2 Size-sqft",,"36,400,000","517,182"
House For Sale In Kalagedihena,"Beds-4, Baths-2 Size-2950sqft",,"26,000,000","369,416"
Commercial Building For Rent In Colombo 08,2000sqft,,,
Land For Sale In Beruwala,71 Perches,,"97,000,000","1,378,205"
House For Sale In Horana,"Beds-3, Baths-2 Size-1250sqft",,"15,400,000","218,808"
Land For Sale In Homagama,7 Perches,,"5,425,000","77,080"
Land For Sale In Kirillawala,10 Perches,,"5,500,000","78,146"
House For Sale In Bandaragama,"Beds-2, Baths-1 Size-3900sqft",,,
House For Sale In Panadura,"Beds-4, Baths-2 Size-3500sqft",,"19,000,000","269,958"
Land For Sale In Pallekelle,13.5 Perches,,"8,100,000","115,087"
House For Rent In Kotte,"Beds-3, Baths-2 Size-1500sqft",,,"100,000"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Kuliyapitiya,1.5 Acres,,"11,000,000","156,291"
Land For Sale In Kadugannawa,5 Acres,,"32,500,000","461,770"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Kirindiwela,10 Perches,,"2,700,000","38,362"
House For Sale In Panadura,"Beds-2, Baths-1 Size-5000sqft",,"12,000,000","170,500"
Land With House For Sale In Veyangoda,70 Perches,,"56,000,000","795,665"
House For Sale In Veyangoda,"Beds-3, Baths-1 Size-5000sqft",,"8,000,000","113,666"
Land For Sale In Kadawatha,20 Perches,,"17,000,000","241,541"
House For Sale In Panadura,"Beds-4, Baths-2 Size-5000sqft",,"18,000,000","255,749"
House For Rent In Ragama,"Beds-2, Baths-1 Size-sqft",,,"35,000"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Land For Sale In Kurunegala,15 Perches,,,
House For Sale In Gonapola Junction,"Beds-3, Baths-1 Size-sqft",,"6,000,000","85,250"
Land For Sale In Maharagama,9 Perches,,"9,675,000","137,465"
House For Sale In Panadura,"Beds-5, Baths-2 Size-2800sqft",,"39,000,000","554,124"
Building For Rent In Kesbewa,12957sqft,,,
House For Sale In Panadura,"Beds-5, Baths-2 Size-2000sqft",,"21,500,000","305,478"
Land For Sale In Kataragama,40 Perches,,"8,000,000","113,666"
House For Sale In Piliyandala,"Beds-5, Baths-5 Size-3800sqft",,"58,500,000","831,185"
Apartment For Rent In Colombo 02,"Beds-2, Baths-1 Size-1126sqft",,,"500,000"
Land For Sale In Pitipana Homagama,10 Perches,,"3,500,000","49,729"
Land For Sale In Piliyandala,10 Perches,,"8,000,000","113,666"
Land For Sale In Kadawatha,25 Perches,,"11,250,000","159,843"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
House For Sale In Galle,"Beds-2, Baths-1 Size-sqft",,"8,500,000","120,771"
House For Sale In Talawatugoda,"Beds-5, Baths-3 Size-3000sqft",,"70,000,000","994,581"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Point Pedro,10.5 Perches,,"115,500,000","1,641,058"
Land For Sale In Kottawa,25.87 Perches,,,
House For Sale In Panadura,"Beds-3, Baths-1 Size-sqft",,"9,000,000","127,875"
Land For Sale In Bandaragama,13.5 Perches,,"7,762,500","110,292"
Land For Sale In Veyangoda,10 Perches,,"3,500,000","49,729"
Land For Sale In Kosgama,10 Perches,,"2,500,000","35,521"
House For Sale In Kadawatha,"Beds-1, Baths-1 Size-sqft",,"9,300,000",
Land For Sale In Danowita,100 Perches,,,
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Gampaha,5 Acres,,"7,500,000","106,562"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Kadawatha,"Beds-3, Baths-1 Size-sqft",,"9,500,000","134,979"
House For Sale In Pelawatta,"Beds-4, Baths-4 Size-1960sqft",,"120,000,000","1,704,996"
House For Sale In Ja-Ela,"Beds-3, Baths-1 Size-700sqft",,,
House For Rent In Battaramulla,"Beds-4, Baths-3 Size-2000sqft",,,"125,000"
Land With House For Sale In Weligama,60 Perches,,"46,500,000","660,686"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Urapola,10 Perches,,"2,700,000","38,362"
Office For Rent In Kotte,250sqft,,,"75,000"
House For Sale In Kohuwala,"Beds-6, Baths-3 Size-5785sqft",,"150,000,000","2,131,244"
House For Sale In Pannipitiya,"Beds-4, Baths-3 Size-4900sqft",,"75,000,000","1,065,622"
House For Sale In Pannipitiya,"Beds-4, Baths-4 Size-2178sqft",,"89,000,000","1,264,538"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Building For Sale In Kiribathgoda,3800sqft,,,
House For Sale In Ganemulla,"Beds-2, Baths-1 Size-1500sqft",,"15,000,000","213,124"
House For Sale In Colombo 05,"Beds-6, Baths-2 Size-18sqft",,"14,000,000","198,916"
Hotel For Sale In Negombo,sqft,,,
Building For Sale In Rikillagaskada,6000sqft,,"85,000,000","1,207,705"
House For Rent In Angoda,"Beds-2, Baths-1 Size-1000sqft",,,"45,000"
Land For Sale In Nikadalupotha,24 Acres,,,
Land For Sale In Makulwewa,9 Acres,,,
